Genus,Species,Family,Illegally_Hunted?,2006_IUCN_threat,AdultBodyMass_grams,AgeFirstBirth_days,AgeSexualMaturity_days,GestationLength_days,InterBirthInterval_days,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Cephalophus,nigrifrons,Bovidae,Yes,Not_Threatened,14200,NA,NA,NA,NA,NA,2766201,NA,236.40,2.00,27.94,6030.49,NA,Generalist,NA
Cephalophus,ogilbyi,Bovidae,Yes,Not_Threatened,18200,NA,NA,121.67,NA,NA,587613,0.08,NA,NA,88.05,12609.93,NA,Generalist,1
Cephalophus,rubidus,Bovidae,No,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generalist,NA
Cephalophus,rufilatus,Bovidae,Yes,Threatened,12000,794.64,NA,234.00,NA,1.00,3098970,NA,114.00,3.09,46.80,16863.65,NA,Generalist,NA
Cephalophus,silvicultor,Bovidae,Yes,Not_Threatened,61300,NA,NA,234.44,306.00,1.00,6018052,NA,207.96,0.49,36.83,8102.57,NA,Generalist,4
Cephalophus,spadix,Bovidae,No,NA,56500,NA,NA,NA,NA,NA,36583,NA,65.04,NA,49.39,10555.98,NA,Generalist,3
Cephalophus,weynsi,Bovidae,Yes,Not_Threatened,NA,NA,NA,NA,NA,NA,1692834,NA,183.00,NA,42.21,5385.10,NA,Generalist,1
Cephalophus,zebra,Bovidae,No,NA,15400,NA,NA,223.90,NA,NA,171547,NA,146.04,NA,37.94,5522.09,Monogamous,Generalist,2
Cervus,albirostris,Cervidae,Yes,NA,161000,NA,NA,263.42,NA,NA,1061383,NA,216.00,NA,12.83,1574470.00,NA,NA,3
Cervus,alfredi,Cervidae,No,NA,45800,NA,NA,243.33,NA,NA,24505,NA,NA,NA,291.84,86607.10,NA,NA,2
Cervus,duvaucelii,Cervidae,No,NA,169000,1095.00,732.49,245.00,NA,64.25,255737,14.30,NA,11.40,428.69,583158.80,Polygamous,Specialist,4
Cervus,elaphus,Cervidae,Yes,Not_Threatened,240000,993.71,549.37,235.61,NA,17.50,14167732,58.40,321.60,2.90,60.80,1927498.80,Polygamous,Generalist,5
Cervus,eldii,Cervidae,No,Threatened,94700,958.13,449.86,240.20,382.70,NA,119941,NA,232.80,NA,64.12,213164.16,Polygamous,Specialist,4
Cervus,mariannus,Cervidae,Yes,NA,49100,NA,NA,NA,NA,NA,220498,NA,NA,NA,222.55,86607.10,NA,NA,3
Cervus,nippon,Cervidae,No,Not_Threatened,53000,1095.00,451.11,223.66,NA,7.50,2714653,1.45,305.04,0.75,331.56,1870074.25,Polygamous,Specialist,4
Cervus,timorensis,Cervidae,Yes,Not_Threatened,65800,NA,639.13,250.29,366.00,NA,132249,NA,NA,NA,804.21,199369.00,Polygamous,Generalist,4
Cervus,unicolor,Cervidae,Yes,Not_Threatened,176000,788.40,549.37,246.00,NA,NA,7050571,NA,317.04,4.90,218.90,554944.91,Polygamous,Generalist,4
Connochaetes,gnou,Bovidae,No,Not_Threatened,154000,912.50,817.08,256.76,NA,26.75,132201,0.97,240.00,33.70,21.87,154675.60,Polygamous,Specialist,2
Connochaetes,taurinus,Bovidae,Yes,Threatened,196000,730.00,730.00,251.50,365.00,20.00,3201114,NA,258.00,7.77,19.13,25033.37,Polygamous,Specialist,3
Dama,dama,Cervidae,No,Not_Threatened,56200,1095.00,466.49,230.00,365.00,10.50,3081759,0.72,300.00,22.00,128.41,733214.02,Polygamous,Generalist,3
Dama,mesopotamica,Cervidae,No,NA,74400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damaliscus,hunteri,Bovidae,No,Threatened,78600,,NA,252.28,NA,13.50,30189,NA,182.04,0.41,6.59,5034.86,Polygamous,Specialist,3
Damaliscus,lunatus,Bovidae,Yes,Threatened,131000,912.50,682.79,238.00,NA,3.60,4545042,NA,216.00,2.92,25.52,12075.97,Polygamous,Specialist,3
Damaliscus,pygargus,Bovidae,Yes,Threatened,76700,1003.75,522.63,240.71,365.00,NA,370656,NA,260.04,23.90,39.93,151214.81,Polygamous,Specialist,3
Dorcatragus,megalotis,Bovidae,No,NA,10900,NA,,NA,NA,7.00,77951,NA,168.00,NA,9.78,1295.48,Polygamous,Specialist,1
Elaphodus,cephalophus,Cervidae,No,NA,23000,NA,547.50,181.25,NA,NA,1959738,NA,NA,NA,202.34,NA,Monogamous,NA,1
Elaphurus,davidianus,Cervidae,No,NA,165000,NA,NA,286.50,359.50,NA,NA,NA,279.60,NA,NA,NA,Polygamous,Specialist,NA
Gazella,bennettii,Bovidae,No,Not_Threatened,18900,NA,NA,NA,NA,NA,1733312,NA,NA,NA,203.11,464466.30,NA,NA,2
Gazella,cuvieri,Bovidae,No,NA,NA,NA,NA,166.13,NA,NA,1047003,NA,NA,NA,50.98,NA,Polygamous,Generalist,5
Gazella,dama,Bovidae,No,Threatened,70400,NA,NA,194.94,182.50,1.00,1593779,NA,207.96,0.18,5.50,8281.67,Polygamous,Generalist,2
Gazella,dorcas,Bovidae,No,Threatened,15500,836.46,525.26,172.00,337.85,6.75,10374954,15.80,209.04,2.24,18.56,31525.08,NA,Generalist,4
Gazella,gazella,Bovidae,No,Threatened,21200,547.50,408.01,180.00,228.13,7.20,1151479,1.46,219.00,0.40,48.75,103943.67,NA,NA,4
Gazella,granti,Bovidae,Yes,Threatened,55000,NA,225.35,191.21,NA,NA,963156,NA,152.04,3.82,40.53,11632.92,Polygamous,Generalist,4
Gazella,leptoceros,Bovidae,No,NA,24300,319.38,NA,167.29,NA,NA,2188576,NA,168.00,NA,6.52,29742.03,Polygamous,Generalist,1
Gazella,rufifrons,Bovidae,No,Threatened,27000,NA,NA,174.73,NA,NA,3084372,NA,162.00,1.52,32.64,9370.32,NA,Generalist,3
Gazella,soemmerringii,Bovidae,No,NA,41000,802.24,350.18,192.54,NA,NA,1089492,NA,186.00,5.33,23.85,6577.22,NA,Generalist,3
Gazella,spekei,Bovidae,No,NA,20000,NA,366.79,178.60,206.50,14.25,170828,NA,152.04,NA,11.38,924.64,NA,Generalist,4
Gazella,subgutturosa,Bovidae,Yes,Threatened,26700,NA,366.25,159.69,NA,5.50,8790680,NA,240.00,0.64,25.75,424954.19,Polygamous,NA,4
Gazella,thomsonii,Bovidae,Yes,Threatened,22600,552.52,354.01,166.14,193.91,NA,515821,NA,182.04,14.60,50.74,12907.38,Polygamous,Specialist,2
Giraffa,camelopardalis,Giraffidae,Yes,Threatened,955000,1825.00,1400.59,455.25,608.33,100.00,2791593,82.50,435.60,1.20,18.24,13185.09,Polygamous,Specialist,3
Hemitragus,hylocrius,Bovidae,No,NA,73700,669.17,NA,186.59,237.25,NA,2110,NA,207.00,NA,486.14,597574.00,Polygamous,NA,3
Hemitragus,jayakari,Bovidae,No,NA,21900,NA,NA,164.32,NA,NA,16234,NA,168.00,NA,40.38,19790.50,NA,NA,1
