Genus,Species,Family,Illegally_Hunted?,2006_IUCN_threat,AdultBodyMass_grams,AgeFirstBirth_days,AgeSexualMaturity_days,GestationLength_days,InterBirthInterval_days,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Pudu,puda,Cervidae,No,Threatened,9540,NA,196.17,210.00,NA,NA,223037,0.18,150.00,NA,11.99,79630.71,Monogamous,Generalist,1
Rangifer,tarandus,Cervidae,No,Not_Threatened,108000,NA,644.18,222.50,365.00,NA,18376464,2770.00,242.40,2.59,1.07,1216452.73,Polygamous,Generalist,3
Raphicerus,campestris,Bovidae,Yes,Not_Threatened,11600,NA,200.08,210.00,219.00,2.00,4930076,0.44,168.00,1.24,24.64,43459.82,Monogamous,Generalist,3
Raphicerus,melanotis,Bovidae,No,Threatened,10400,NA,NA,NA,NA,1.50,243785,NA,168.00,10.20,47.95,156501.00,Monogamous,Generalist,3
Raphicerus,sharpei,Bovidae,Yes,Threatened,9330,NA,NA,212.92,NA,1.50,2548307,NA,168.00,0.51,25.41,9205.25,NA,Generalist,4
Redunca,arundinum,Bovidae,Yes,Threatened,57700,NA,NA,220.52,273.75,1.75,5149999,NA,201.00,0.64,24.54,18018.60,Monogamous,Specialist,4
Redunca,fulvorufula,Bovidae,No,Not_Threatened,28900,NA,283.42,223.00,352.83,4.75,1134766,0.08,147.96,7.72,60.83,61105.73,Polygamous,Specialist,5
Redunca,redunca,Bovidae,Yes,Threatened,42700,NA,NA,228.13,NA,NA,6462305,NA,216.00,1.01,45.48,13072.37,Polygamous,Specialist,4
Rupicapra,pyrenaica,Bovidae,No,Threatened,30000,NA,NA,NA,NA,NA,13562,NA,NA,NA,37.32,1056288.32,NA,Generalist,4
Rupicapra,rupicapra,Bovidae,No,Not_Threatened,32800,1368.75,541.09,178.55,365.00,1.00,742757,2.66,264.00,NA,105.31,406572.39,Polygamous,Generalist,4
Saiga,tatarica,Bovidae,Yes,Threatened,37400,NA,279.78,148.50,365.00,27.50,3052486,NA,144.00,0.76,9.02,206869.95,Polygamous,Generalist,3
Sigmoceros,lichtensteinii,Bovidae,Yes,NA,168000,730.00,517.08,237.00,365.00,10.00,2264336,4.47,NA,1.65,21.99,6536.69,Polygamous,Specialist,4
Sus,barbatus,Suidae,Yes,Not_Threatened,135000,NA,320.64,114.78,NA,6.25,1078876,NA,NA,NA,67.01,161462.56,NA,NA,3
Sus,bucculentus,Suidae,No,NA,NA,NA,NA,NA,NA,NA,2834,NA,NA,NA,92.30,7342.99,NA,NA,1
Sus,cebifrons,Suidae,No,NA,188000,NA,246.74,125.47,NA,4.50,27762,NA,NA,NA,266.95,86607.10,NA,NA,1
Sus,celebensis,Suidae,Yes,Not_Threatened,53100,NA,NA,126.00,NA,NA,173576,NA,NA,NA,94.75,199369.00,NA,NA,NA
Sus,heureni,Suidae,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sus,philippensis,Suidae,Yes,Threatened,188000,NA,246.74,125.47,NA,3.75,237935,NA,NA,NA,225.88,86607.10,NA,NA,1
Sus,salvanius,Suidae,No,NA,7860,NA,NA,110.50,NA,5.00,25729,0.16,144.00,NA,339.50,475265.80,Polygamous,NA,3
Sus,scrofa,Suidae,Yes,Not_Threatened,84500,312.00,304.17,115.20,230.00,13.00,25951694,1.19,252.00,3.57,145.59,579612.50,Polygamous,Generalist,5
Sus,timoriensis,Suidae,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sus,verrucosus,Suidae,Yes,NA,89000,NA,NA,121.67,NA,5.00,97965,NA,168.00,NA,777.30,199369.00,NA,NA,4
Sylvicapra,grimmia,Bovidae,Yes,Not_Threatened,15500,608.33,248.04,174.90,234.00,1.00,14120906,NA,171.96,2.36,33.95,22282.00,Monogamous,Specialist,3
Syncerus,caffer,Bovidae,Yes,Threatened,593000,1460.00,1460.00,337.49,638.75,12.00,11706835,63.80,354.00,5.68,31.59,11194.95,Polygamous,Specialist,4
Taurotragus,derbianus,Bovidae,No,Not_Threatened,643000,,657.99,NA,,NA,937937,NA,194.04,0.72,9.12,6686.10,Polygamous,Specialist,3
Taurotragus,oryx,Bovidae,No,Threatened,561000,958.13,595.15,271.00,337.00,NA,5405308,197.00,283.20,1.59,24.96,9349.01,Polygamous,Generalist,4
Tayassu,pecari,Tayassuidae,Yes,Not_Threatened,31400,NA,596.93,158.00,NA,NA,13839053,41.70,252.00,1.59,25.33,323829.21,NA,NA,4
Tetracerus,quadricornis,Bovidae,Yes,NA,19100,365.00,NA,207.31,316.00,NA,1865786,NA,129.96,NA,286.57,583721.23,Monogamous,Generalist,3
Tragelaphus,angasii,Bovidae,Yes,Threatened,87000,695.78,573.16,220.00,297.00,15.50,274075,1.66,192.00,123.00,18.75,24843.63,Polygamous,Generalist,4
Tragelaphus,buxtoni,Bovidae,No,NA,215000,NA,657.99,NA,NA,15.00,41913,NA,132.00,78.20,98.01,6597.13,Polygamous,Specialist,5
Tragelaphus,eurycerus,Bovidae,Yes,Not_Threatened,268000,NA,760.32,285.00,NA,13.50,2564433,NA,233.00,0.39,30.98,5989.15,NA,Specialist,2
Tragelaphus,imberbis,Bovidae,Yes,Threatened,93300,1115.08,577.92,222.00,258.54,3.00,1907499,NA,227.00,0.34,26.56,8575.69,Polygamous,Generalist,3
Tragelaphus,scriptus,Bovidae,Yes,Not_Threatened,43300,644.16,380.78,182.50,235.73,1.00,13167566,0.03,156.00,1.51,41.29,13928.48,Polygamous,Specialist,3
Tragelaphus,spekii,Bovidae,Yes,Not_Threatened,75000,608.33,548.81,241.16,352.83,6.00,5256069,NA,258.00,1.61,30.39,6656.00,Polygamous,Generalist,4
Tragelaphus,strepsiceros,Bovidae,Yes,Threatened,205000,912.50,496.08,220.95,365.00,12.00,6476880,835.00,276.00,1.04,24.17,17606.31,Polygamous,Specialist,4
Tragulus,javanicus,Tragulidae,Yes,Not_Threatened,1870,NA,137.08,158.76,NA,1.00,3708821,NA,144.00,NA,181.56,328763.18,Monogamous,Generalist,4
Tragulus,napu,Tragulidae,Yes,Not_Threatened,5230,212.92,134.10,154.25,152.08,NA,1605112,NA,195.96,NA,90.18,159927.18,NA,NA,4
Vicugna,vicugna,Camelidae,Yes,Threatened,47500,1140.63,821.25,345.46,547.50,NA,817999,0.13,297.60,3.14,10.75,58992.13,Polygamous,Generalist,3
