Zip.Code,Sample.Number,Date.Submitted,Lead.ppb,copper.ppb,Street..,City,N,income,ave.income
48502,LG61945,7/25/16,29,0,952,FLINT,524,37439,71.44847328
48502,LG60211,7/18/16,0,0,4010,FLINT,524,37439,71.44847328
48502,LG81104,10/10/16,29,70,3217,FLINT,524,37439,71.44847328
48502,LG60768,7/20/16,1,0,4302,FLINT,524,37439,71.44847328
48502,LG70047,8/29/16,0,100,307,FLINT,524,37439,71.44847328
48502,LG58844,7/12/16,0,0,1845,FLINT,524,37439,71.44847328
48502,LG75380,9/21/16,2,0,627,FLINT,524,37439,71.44847328
48502,LG84130,10/27/16,,,1217,FLINT,524,37439,71.44847328
48502,LG76103,9/22/16,2,0,2402,FLINT,524,37439,71.44847328
48502,LG85368,11/3/16,0,210,512,FLINT,524,37439,71.44847328
48502,LG87400,11/17/16,3,0,2319,FLINT,524,37439,71.44847328
48502,LG75388,9/21/16,158,1220,1402,FLINT,524,37439,71.44847328
48502,LG89873,12/5/16,,,2535,FLINT,524,37439,71.44847328
48502,LG77524,9/27/16,0,0,1201,FLINT,524,37439,71.44847328
48502,LG67920,8/18/16,0,90,2701,FLINT,524,37439,71.44847328
48502,LG86540,11/10/16,,,424,FLINT,524,37439,71.44847328
48502,LG67998,8/18/16,0,0,4319,FLINT,524,37439,71.44847328
48502,LG87999,11/21/16,,,1518,FLINT,524,37439,71.44847328
48502,LG72817,9/12/16,3,120,980,FLINT,524,37439,71.44847328
48502,LG68012,8/18/16,31,140,3507,FLINT,524,37439,71.44847328
48502,LG61498,7/21/16,2,60,1010,FLINT,524,37439,71.44847328
48502,LG72796,9/12/16,2,0,605,FLINT,524,37439,71.44847328
48502,LG87411,11/17/16,2,0,3618,FLINT,524,37439,71.44847328
48502,LG72810,9/12/16,0,0,1214,FLINT,524,37439,71.44847328
48502,LG87436,11/17/16,2,0,632,FLINT,524,37439,71.44847328
48502,LG58837,7/12/16,0,0,4609,FLINT,524,37439,71.44847328
48502,LG87393,11/17/16,14,170,3514,FLINT,524,37439,71.44847328
48502,LG89867,12/5/16,,,914,FLINT,524,37439,71.44847328
48502,LG78676,9/29/16,10,0,1909,FLINT,524,37439,71.44847328
48502,LG92050,12/15/16,0,0,735,FLINT,524,37439,71.44847328
48502,LG85318,11/3/16,,,1221,FLINT,524,37439,71.44847328
48502,LG84139,10/27/16,,,2002,FLINT,524,37439,71.44847328
48502,LG79605,10/3/16,0,0,,FLINT,524,37439,71.44847328
48502,LG75316,9/21/16,3,0,421,FLINT,524,37439,71.44847328
48502,LG72823,9/12/16,0,360,2409,FLINT,524,37439,71.44847328
48502,LG90810,12/8/16,,,1918,FLINT,524,37439,71.44847328
