Zip.Code,Sample.Number,Date.Submitted,Analysis..Lead.,Lead.ppb,Analysis..Copper.,copper.ppb,Street..,Street.Name,City,N,income,ave.income
48503,LG85321,11/3/16,Lead,,Copper,,906,ADDISON ST,FLINT,9642,310929,32.24735532
48503,LG67964,8/18/16,Lead,0,Copper,0,1805,CRESTBROOK LN,FLINT,9642,310929,32.24735532
48503,LG76230,9/22/16,Lead,0,Copper,120,1953,LAUREL OAK DR,FLINT,9642,310929,32.24735532
48503,LG66323,8/11/16,Lead,2,Copper,0,1015,LINCOLN AVE,FLINT,9642,310929,32.24735532
48503,LG87447,11/17/16,Lead,4,Copper,0,631,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG61941,7/25/16,Lead,0,Copper,0,2010,N DORT HWY,FLINT,9642,310929,32.24735532
48503,LG58035,7/7/16,Lead,0,Copper,0,763,LEITH ST,FLINT,9642,310929,32.24735532
48503,LG76874,9/26/16,Lead,1,Copper,140,3702,RALPH ST,FLINT,9642,310929,32.24735532
48503,LG88725,11/28/16,Lead,0,Copper,0,3414,LEITH ST,FLINT,9642,310929,32.24735532
48503,LG60654,7/19/16,Lead,0,Copper,70,3827,LEITH ST,FLINT,9642,310929,32.24735532
48503,LG67893,8/18/16,Lead,3,Copper,0,911,E MYRTLE AVE,FLINT,9642,310929,32.24735532
48503,LG66316,8/11/16,Lead,0,Copper,160,3411,HAWTHORNE DR,FLINT,9642,310929,32.24735532
48503,LG79612,10/3/16,Lead,1,Copper,0,1001,S FRANKLIN AVE,FLINT,9642,310929,32.24735532
48503,LG75386,9/21/16,Lead,0,Copper,0,734,LELAND ST,FLINT,9642,310929,32.24735532
48503,LG74249,9/15/16,Lead,0,Copper,0,,,FLINT,9642,310929,32.24735532
48503,LG66696,8/15/16,Lead,1,Copper,90,520,S LYNCH ST,FLINT,9642,310929,32.24735532
48503,LG63031,7/28/16,Lead,1,Copper,0,525,S LYNCH ST,FLINT,9642,310929,32.24735532
48503,LG90801,12/8/16,Lead,0,Copper,0,,,FLINT,9642,310929,32.24735532
48503,LG90805,12/8/16,Lead,0,Copper,0,,,FLINT,9642,310929,32.24735532
48503,LG63009,7/28/16,Lead,1,Copper,0,1002,S SAGINAW ST,FLINT,9642,310929,32.24735532
48503,LG63027,7/28/16,Lead,0,Copper,0,814,LINCOLN AVE,FLINT,9642,310929,32.24735532
48503,LG67850,8/18/16,Lead,5,Copper,0,652,CRAWFORD ST,FLINT,9642,310929,32.24735532
48503,LG64518,8/4/16,Lead,1,Copper,50,2031,CROOKED LN,FLINT,9642,310929,32.24735532
48503,LG84170,10/27/16,Lead,0,Copper,0,2727,LIPPINCOTT BLVD,FLINT,9642,310929,32.24735532
48503,LG68010,8/18/16,Lead,0,Copper,0,2002,HILLS ST,FLINT,9642,310929,32.24735532
48503,LG60221,7/18/16,Lead,16,Copper,110,3714,BEECHER RD,FLINT,9642,310929,32.24735532
48503,LG70068,8/29/16,Lead,1,Copper,0,1134,SIMCOE AVE,FLINT,9642,310929,32.24735532
48503,LG85352,11/3/16,Lead,0,Copper,160,701,LOYOLA LANE,FLINT,9642,310929,32.24735532
48503,LG89884,12/5/16,Lead,,Copper,,805,CAMPBELL ST,FLINT,9642,310929,32.24735532
48503,LG71022,9/1/16,Lead,5,Copper,0,734,E BUNDY AVE,FLINT,9642,310929,32.24735532
48503,LG64524,8/4/16,Lead,0,Copper,0,334,LYNDON AVE,FLINT,9642,310929,32.24735532
48503,LG58866,7/12/16,Lead,5,Copper,0,162,E ELDRIDGE AVE,FLINT,9642,310929,32.24735532
48503,LG82135,10/17/16,Lead,1,Copper,0,967,STOCKER AVE,FLINT,9642,310929,32.24735532
48503,LG86706,11/14/16,Lead,,Copper,,1844,TEBO ST,FLINT,9642,310929,32.24735532
48503,LG61484,7/21/16,Lead,0,Copper,0,813,MACDONALD AVE,FLINT,9642,310929,32.24735532
48503,LG72818,9/12/16,Lead,10,Copper,0,926,BEARD,FLINT,9642,310929,32.24735532
48503,LG60649,7/19/16,Lead,2,Copper,0,2332,COPEMAN BLVD,FLINT,9642,310929,32.24735532
48503,LG67965,8/18/16,Lead,3,Copper,0,3451,KENT ST,FLINT,9642,310929,32.24735532
48503,LG67959,8/18/16,Lead,1,Copper,0,1810,VALLEY LN,FLINT,9642,310929,32.24735532
48503,LG60219,7/18/16,Lead,1,Copper,0,4253,VAN SLYKE RD,FLINT,9642,310929,32.24735532
48503,LG84522,10/31/16,Lead,0,Copper,0,G-3376,BRANCH RD,FLINT,9642,310929,32.24735532
48503,LG81090,10/10/16,Lead,0,Copper,0,2931,CLEMENT ST,FLINT,9642,310929,32.24735532
48503,LG88170,11/21/16,Lead,,Copper,,2960,MALLERY ST,FLINT,9642,310929,32.24735532
48503,LG72843,9/12/16,Lead,1,Copper,0,633,W BISHOP AVE,FLINT,9642,310929,32.24735532
48503,LG59577,7/14/16,Lead,0,Copper,0,2608,MAPLEWOOD AVE,FLINT,9642,310929,32.24735532
48503,LG88662,11/28/16,Lead,0,Copper,0,3173,MARHHAROSE CT,FLINT,9642,310929,32.24735532
48503,LG59594,7/14/16,Lead,0,Copper,0,5717,MARJA ST,FLINT,9642,310929,32.24735532
48503,LG58848,7/12/16,Lead,0,Copper,0,5728,MARJA ST,FLINT,9642,310929,32.24735532
48503,LG90830,12/8/16,Lead,,Copper,,618,EAST BISHOP AVE,FLINT,9642,310929,32.24735532
48503,LG83423,10/24/16,Lead,0,Copper,0,3010,BRANDON ST,FLINT,9642,310929,32.24735532
48503,LG89427,12/1/16,Lead,,Copper,,1538,MARYLAND AVE,FLINT,9642,310929,32.24735532
48503,LG66324,8/11/16,Lead,19,Copper,340,348,E ATHERTON RD,FLINT,9642,310929,32.24735532
48503,LG77568,9/27/16,Lead,2,Copper,100,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG75282,9/21/16,Lead,5,Copper,90,1026,MAXINE ST,FLINT,9642,310929,32.24735532
48503,LG60803,7/20/16,Lead,19,Copper,0,2823,MALLERY ST,FLINT,9642,310929,32.24735532
48503,LG91162,12/12/16,Lead,0,Copper,110,4903,FENTON RD,FLINT,9642,310929,32.24735532
48503,LG84533,10/31/16,Lead,,Copper,,1410,W STEWART AVE,FLINT,9642,310929,32.24735532
48503,LG61537,7/21/16,Lead,0,Copper,0,601,MAXINE ST,FLINT,9642,310929,32.24735532
48503,LG68466,8/22/16,Lead,1,Copper,0,1210,WALKER ST,FLINT,9642,310929,32.24735532
48503,LG72165,9/8/16,Lead,0,Copper,0,1015,MAXINE ST,FLINT,9642,310929,32.24735532
48503,LG60808,7/20/16,Lead,0,Copper,60,1026,MAXINE ST,FLINT,9642,310929,32.24735532
48503,LG89417,12/1/16,Lead,,Copper,,613,MORLEY AVE,FLINT,9642,310929,32.24735532
48503,LG83032,10/20/16,Lead,0,Copper,0,711,SAGINAW ST,FLINT,9642,310929,32.24735532
48503,LG85710,11/7/16,Lead,,Copper,,1830,WHITTLESY ST,FLINT,9642,310929,32.24735532
48503,LG91180,12/12/16,Lead,,Copper,,2020,E 2ND ST,FLINT,9642,310929,32.24735532
48503,LG87618,11/17/16,Lead,,Copper,,,,FLINT,9642,310929,32.24735532
48503,LG92067,12/15/16,Lead,,Copper,,1825,N DORT HWY,FLINT,9642,310929,32.24735532
48503,LG90802,12/8/16,Lead,0,Copper,90,817,KEARSLEY,FLINT,9642,310929,32.24735532
48503,LG77560,9/27/16,Lead,5,Copper,110,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG89886,12/5/16,Lead,,Copper,,940,LELAND,FLINT,9642,310929,32.24735532
48503,LG60613,7/19/16,Lead,0,Copper,0,5915,SALLY CT,FLINT,9642,310929,32.24735532
48503,LG87608,11/17/16,Lead,,Copper,,,0,LAKEVILLE,9642,310929,32.24735532
48503,LG88688,11/28/16,Lead,,Copper,,620,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG87333,11/17/16,Lead,0,Copper,0,5915,SALLY CT,FLINT,9642,310929,32.24735532
48503,LG80761,10/6/16,Lead,0,Copper,140,324,W 1ST AVE,FLINT,9642,310929,32.24735532
48503,LG81795,10/13/16,Lead,0,Copper,0,4226,BROWNELL BLVD,FLINT,9642,310929,32.24735532
48503,LG67974,8/18/16,Lead,0,Copper,0,418,E BISHOP AVE,FLINT,9642,310929,32.24735532
48503,LG67933,8/18/16,Lead,0,Copper,0,749,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG58354,7/11/16,Lead,3,Copper,0,3517,ARLENE AVE,FLINT,9642,310929,32.24735532
48503,LG89861,12/5/16,Lead,,Copper,,3641,PENBROOK LN APT 4,FLINT,9642,310929,32.24735532
48503,LG60226,7/18/16,Lead,3,Copper,90,2330,S DORT HWY,FLINT,9642,310929,32.24735532
48503,LG79611,10/3/16,Lead,0,Copper,0,512,W BAKER ST,FLINT,9642,310929,32.24735532
48503,LG61507,7/21/16,Lead,3,Copper,0,812,BELMONT AVE,FLINT,9642,310929,32.24735532
48503,LG91190,12/12/16,Lead,,Copper,,3217,WOLCOTT ST,FLINT,9642,310929,32.24735532
48503,LG89843,12/5/16,Lead,7,Copper,210,2121,HOWARD AVE,FLINT,9642,310929,32.24735532
48503,LG58839,7/12/16,Lead,0,Copper,330,2607,AVE A,FLINT,9642,310929,32.24735532
48503,LG75313,9/21/16,Lead,5,Copper,150,3335,WESTWOOD PKWY,FLINT,9642,310929,32.24735532
48503,LG57982,7/7/16,Lead,130,Copper,630,2630,PROCTOR ST,FLINT,9642,310929,32.24735532
48503,LG86533,11/10/16,Lead,,Copper,,1370,FOREST HILL AVE,FLINT,9642,310929,32.24735532
48503,LG69548,8/25/16,Lead,12,Copper,120,1427,CRESTBROOK LN,FLINT,9642,310929,32.24735532
48503,LG88661,11/28/16,Lead,0,Copper,0,1648,MISSOURI AVE,FLINT,9642,310929,32.24735532
48503,LG92038,12/15/16,Lead,5,Copper,0,1121,PINEHURST AVE,FLINT,9642,310929,32.24735532
48503,LG88142,11/21/16,Lead,0,Copper,0,624,STEVENSON ST,FLINT,9642,310929,32.24735532
48503,LG87405,11/17/16,Lead,0,Copper,0,3817,W COURT ST,FLINT,9642,310929,32.24735532
48503,LG89836,12/5/16,Lead,0,Copper,0,1700,UNIVERSITY DRIVE,FLINT,9642,310929,32.24735532
48503,LG60611,7/19/16,Lead,3,Copper,0,734,CAMPBELL ST,FLINT,9642,310929,32.24735532
48503,LG72162,9/8/16,Lead,160,Copper,80,3714,BEECHER RD,FLINT,9642,310929,32.24735532
48503,LG64576,8/4/16,Lead,0,Copper,0,1517,STOCKTON ST,FLINT,9642,310929,32.24735532
48503,LG78675,9/29/16,Lead,6,Copper,180,1408,BLACKBERRY LN,FLINT,9642,310929,32.24735532
48503,LG76097,9/22/16,Lead,3,Copper,160,3514,CHICAGO BLVD,FLINT,9642,310929,32.24735532
48503,LG83013,10/20/16,Lead,0,Copper,0,5602,BALDWIN BLVD,FLINT,9642,310929,32.24735532
48503,LG81804,10/13/16,Lead,0,Copper,0,1201,W GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG58049,7/7/16,Lead,6,Copper,70,1926,CAMBRIDGE AVE,FLINT,9642,310929,32.24735532
48503,LG82145,10/17/16,Lead,1,Copper,0,718,CAMPBELL ST,FLINT,9642,310929,32.24735532
48503,LG76247,9/22/16,Lead,4,Copper,0,1309,VERMILYA AVE,FLINT,9642,310929,32.24735532
48503,LG57994,7/7/16,Lead,0,Copper,80,1701,BARBARA DR,FLINT,9642,310929,32.24735532
48503,LG87687,11/17/16,Lead,,Copper,,1102,VETMILYA AVE,FLINT,9642,310929,32.24735532
48503,LG78687,9/29/16,Lead,4,Copper,150,215,W 10TH ST,FLINT,9642,310929,32.24735532
48503,LG58852,7/12/16,Lead,0,Copper,0,641,W HOME AVE,FLINT,9642,310929,32.24735532
48503,LG67844,8/18/16,Lead,3,Copper,50,2816,CONCORD ST,FLINT,9642,310929,32.24735532
48503,LG87675,11/17/16,Lead,2,Copper,80,3614,HOLLY AVE,FLINT,9642,310929,32.24735532
48503,LG91182,12/12/16,Lead,,Copper,,3709,LAWNDALE AVE,FLINT,9642,310929,32.24735532
48503,LG81785,10/13/16,Lead,0,Copper,50,3306,YALE ST,FLINT,9642,310929,32.24735532
48503,LG82137,10/17/16,Lead,0,Copper,0,1417,BARNEY AVE,FLINT,9642,310929,32.24735532
48503,LG75288,9/21/16,Lead,8,Copper,80,1613,PARK ST,FLINT,9642,310929,32.24735532
48503,LG58857,7/12/16,Lead,33,Copper,0,647,FREEMAN AVE,FLINT,9642,310929,32.24735532
48503,LG85313,11/3/16,Lead,,Copper,,1122,BARRINGTON DR,FLINT,9642,310929,32.24735532
48503,LG58046,7/7/16,Lead,0,Copper,110,6009,SUSAN ST,FLINT,9642,310929,32.24735532
48503,LG91197,12/12/16,Lead,,Copper,,3850,PARK FOREST DR,FLINT,9642,310929,32.24735532
48503,LG61202,7/20/16,Lead,35,Copper,0,2610,MOUNTAIN AVE,FLINT,9642,310929,32.24735532
48503,LG89876,12/5/16,Lead,,Copper,,2413,KELLAR,FLINT,9642,310929,32.24735532
48503,LG83084,10/20/16,Lead,,Copper,,1901,TEBO ST,FLINT,9642,310929,32.24735532
48503,LG57249,7/5/16,Lead,0,Copper,0,2922,THOM ST,FLINT,9642,310929,32.24735532
48503,LG86553,11/10/16,Lead,,Copper,,2910,CRESTWOOD DR,FLINT,9642,310929,32.24735532
48503,LG70057,8/29/16,Lead,0,Copper,60,2426,BASSETT PL,FLINT,9642,310929,32.24735532
48503,LG81784,10/13/16,Lead,14,Copper,100,200,E SHERMAN AVE,FLINT,9642,310929,32.24735532
48503,LG83440,10/24/16,Lead,,Copper,,317,W PIERSON RD,FLINT,9642,310929,32.24735532
48503,LG68443,8/22/16,Lead,4,Copper,0,717,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG87788,11/18/16,Lead,0,Copper,0,2521,THOMAS ST,FLINT,9642,310929,32.24735532
48503,LG82141,10/17/16,Lead,6,Copper,60,1929,MILLER RD,FLINT,9642,310929,32.24735532
48503,LG88679,11/28/16,Lead,,Copper,,3901,BURGESS ST,FLINT,9642,310929,32.24735532
48503,LG61944,7/25/16,Lead,0,Copper,0,914,CHURCH ST,FLINT,9642,310929,32.24735532
48503,LG61937,7/25/16,Lead,0,Copper,0,,,,9642,310929,32.24735532
48503,LG68000,8/18/16,Lead,0,Copper,0,4109,TRUMBALL AVE,FLINT,9642,310929,32.24735532
48503,LG61529,7/21/16,Lead,0,Copper,0,4101,TUXEDO AVE,FLINT,9642,310929,32.24735532
48503,LG62993,7/28/16,Lead,6,Copper,60,601,ODETTE ST,FLINT,9642,310929,32.24735532
48503,LG72793,9/12/16,Lead,3,Copper,0,2112,FENTON RD,FLINT,9642,310929,32.24735532
48503,LG91217,12/12/16,Lead,,Copper,,644,CAMPBELL ST,FLINT,9642,310929,32.24735532
48503,LG62989,7/28/16,Lead,3,Copper,110,968,GAINEY AVE,FLINT,9642,310929,32.24735532
48503,LG62977,7/28/16,Lead,0,Copper,0,1602,UNIVERSITY AVE,FLINT,9642,310929,32.24735532
48503,LG71348,9/6/16,Lead,0,Copper,0,1602,UNIVERSITY AVE,FLINT,9642,310929,32.24735532
48503,LG60653,7/19/16,Lead,3,Copper,0,1920,GLENDALE AVE,FLINT,9642,310929,32.24735532
48503,LG81786,10/13/16,Lead,0,Copper,0,1602,UNIVERSITY AVE,FLINT,9642,310929,32.24735532
48503,LG81775,10/13/16,Lead,0,Copper,0,1602,UNIVERSITY AVE,FLINT,9642,310929,32.24735532
48503,LG81779,10/13/16,Lead,0,Copper,0,1602,UNIVERSITY AVE,FLINT,9642,310929,32.24735532
48503,LG92041,12/15/16,Lead,0,Copper,0,2401,S DORT HWY,FLINT,9642,310929,32.24735532
48503,LG60212,7/18/16,Lead,3,Copper,670,1902,HAMMERBERG RD,FLINT,9642,310929,32.24735532
48503,LG92043,12/15/16,Lead,0,Copper,0,3801,CORUNNA RD,FLINT,9642,310929,32.24735532
48503,LG88672,11/28/16,Lead,,Copper,,2020,HILLS ST,FLINT,9642,310929,32.24735532
48503,LG67890,8/18/16,Lead,0,Copper,0,4401,BILLINGS ST,FLINT,9642,310929,32.24735532
48503,LG76086,9/22/16,Lead,3,Copper,150,2501,HILLS ST,FLINT,9642,310929,32.24735532
48503,LG59584,7/14/16,Lead,0,Copper,0,4701,BIRCHCREST DR,FLINT,9642,310929,32.24735532
48503,LG67882,8/18/16,Lead,2,Copper,0,733,CLINTON ST,FLINT,9642,310929,32.24735532
48503,LG88046,11/21/16,Lead,,Copper,,6602,OXLEY DR,FLINT,9642,310929,32.24735532
48503,LG88682,11/28/16,Lead,,Copper,,535,DELL AVE,FLINT,9642,310929,32.24735532
48503,LG78665,9/29/16,Lead,0,Copper,60,1213,BLANCHARD AVE,FLINT,9642,310929,32.24735532
48503,LG88003,11/21/16,Lead,,Copper,,1518,UNIVERSITY AVENUE,FLINT,9642,310929,32.24735532
48503,LG92054,12/15/16,Lead,0,Copper,0,4601,SAGINAW ST,FLINT,9642,310929,32.24735532
48503,LG87789,11/18/16,Lead,10,Copper,0,2819,CLEMENT ST,FLINT,9642,310929,32.24735532
48503,LG75361,9/21/16,Lead,4,Copper,0,1915,COPEMAN BLVD,FLINT,9642,310929,32.24735532
48503,LG72134,9/8/16,Lead,0,Copper,0,2931,CLEMENT ST,FLINT,9642,310929,32.24735532
48503,LG72147,9/8/16,Lead,0,Copper,0,2931,CLEMENT ST,FLINT,9642,310929,32.24735532
48503,LG79594,10/3/16,Lead,2,Copper,0,1120,WOODSIDE DR,FLINT,9642,310929,32.24735532
48503,LG85697,11/7/16,Lead,1,Copper,0,826,E PASADENA AVENUE,FLINT,9642,310929,32.24735532
48503,LG68471,8/22/16,Lead,0,Copper,0,2931,WEST COURT ST,FLINT,9642,310929,32.24735532
48503,LG60800,7/20/16,Lead,3,Copper,0,2812,MALLERY ST,FLINT,9642,310929,32.24735532
48503,LG76083,9/22/16,Lead,7,Copper,80,3421,CONCORD ST,FLINT,9642,310929,32.24735532
48503,LG88014,11/21/16,Lead,,Copper,,1518,UNIVERSITY AVENUE,FLINT,9642,310929,32.24735532
48503,LG61859,7/22/16,Lead,10,Copper,90,1613,PARK ST,FLINT,9642,310929,32.24735532
48503,LG61127,7/20/16,Lead,0,Copper,100,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG66321,8/11/16,Lead,0,Copper,70,2702,WESTWOOD AVE,FLINT,9642,310929,32.24735532
48503,LG87592,11/17/16,Lead,,Copper,,,WESTWOOD HEIGHTS HEADSTART,FLINT,9642,310929,32.24735532
48503,LG88019,11/21/16,Lead,,Copper,,1518,UNIVERSITY AVENUE,FLINT,9642,310929,32.24735532
48503,LG75403,9/21/16,Lead,19,Copper,100,519,CHALMERS ST,FLINT,9642,310929,32.24735532
48503,LG85333,11/3/16,Lead,,Copper,,416,MARQUETTE ST,FLINT,9642,310929,32.24735532
48503,LG63040,7/28/16,Lead,3,Copper,0,2101,MILLER RD,FLINT,9642,310929,32.24735532
48503,LG75354,9/21/16,Lead,7,Copper,0,2406,E COURT ST,FLINT,9642,310929,32.24735532
48503,LG61497,7/21/16,Lead,7,Copper,170,514,E PULASKI AVE,FLINT,9642,310929,32.24735532
48503,LG62981,7/28/16,Lead,3,Copper,0,2020,N DEXTER ST,FLINT,9642,310929,32.24735532
48503,LG92340,12/19/16,Lead,0,Copper,0,647,FREEMAN AVE,FLINT,9642,310929,32.24735532
48503,LG67864,8/18/16,Lead,0,Copper,0,1626,BROOKSIDE DR,FLINT,9642,310929,32.24735532
48503,LG61492,7/21/16,Lead,10,Copper,0,,,,9642,310929,32.24735532
48503,LG67868,8/18/16,Lead,0,Copper,0,1606,PARK ST,FLINT,9642,310929,32.24735532
48503,LG87326,11/17/16,Lead,0,Copper,0,1626,BROOKSIDE DR,FLINT,9642,310929,32.24735532
48503,LG84172,10/27/16,Lead,0,Copper,140,2321,BROOKSIDE DR,FLINT,9642,310929,32.24735532
48503,LG63008,7/28/16,Lead,0,Copper,0,1002,SAGINAW ST,FLINT,9642,310929,32.24735532
48503,LG88033,11/21/16,Lead,,Copper,,1518,UNIVERSITY AVENUE,FLINT,9642,310929,32.24735532
48503,LG61546,7/21/16,Lead,79,Copper,170,5602,BALDWIN BLVD,FLINT,9642,310929,32.24735532
48503,LG58872,7/12/16,Lead,7,Copper,0,2525,N CHEVROLET AVE,FLINT,9642,310929,32.24735532
48503,LG93141,12/22/16,Lead,0,Copper,0,3623,NORWOOD DR,FLINT,9642,310929,32.24735532
48503,LG89429,12/1/16,Lead,,Copper,,2419,BROWNELL BLVD,FLINT,9642,310929,32.24735532
48503,LG88695,11/28/16,Lead,,Copper,,1801,SENECA ST,FLINT,9642,310929,32.24735532
48503,LG77525,9/27/16,Lead,0,Copper,60,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG84138,10/27/16,Lead,,Copper,,4110,PARK FOREST DR,FLINT,9642,310929,32.24735532
48503,LG69527,8/25/16,Lead,4,Copper,100,2840,MILLER RD,FLINT,9642,310929,32.24735532
48503,LG71315,9/6/16,Lead,0,Copper,0,2101,WINDEMERE AVE,FLINT,9642,310929,32.24735532
48503,LG67906,8/18/16,Lead,0,Copper,0,2120,WINDEMERE AVE,FLINT,9642,310929,32.24735532
48503,LG58034,7/7/16,Lead,2,Copper,70,110,E VAN WAGONER AVE,FLINT,9642,310929,32.24735532
48503,LG88677,11/28/16,Lead,,Copper,,3110,NORWOOD DR,FLINT,9642,310929,32.24735532
48503,LG67816,8/18/16,Lead,7,Copper,220,3405,WESTWOOD PKWY,FLINT,9642,310929,32.24735532
48503,LG58064,7/7/16,Lead,0,Copper,0,743,W ATHERTON RD,FLINT,9642,310929,32.24735532
48503,LG78670,9/29/16,Lead,11,Copper,0,917,WOODSIDE DR,FLINT,9642,310929,32.24735532
48503,LG68005,8/18/16,Lead,12,Copper,250,5602,BALDWIN BLVD,FLINT,9642,310929,32.24735532
48503,LG57974,7/7/16,Lead,0,Copper,0,540,BUCKINGHAM AVE,FLINT,9642,310929,32.24735532
48503,LG90828,12/8/16,Lead,,Copper,,3135,BENNETT AVE,FLINT,9642,310929,32.24735532
48503,LG88158,11/21/16,Lead,,Copper,,2526,NORBERT ST,FLINT,9642,310929,32.24735532
48503,LG88149,11/21/16,Lead,12,Copper,0,4024,CIRCLE DR,FLINT,9642,310929,32.24735532
48503,LG87398,11/17/16,Lead,1,Copper,0,2824,MALLERY ST,FLINT,9642,310929,32.24735532
48503,LG66313,8/11/16,Lead,0,Copper,0,2409,PLAINFIELD AVE,FLINT,9642,310929,32.24735532
48503,LG60631,7/19/16,Lead,4,Copper,60,202,OLIVER ST,FLINT,9642,310929,32.24735532
48503,LG59567,7/14/16,Lead,0,Copper,60,514,BURROUGHS AVE,FLINT,9642,310929,32.24735532
48503,LG61203,7/20/16,Lead,0,Copper,0,3817,W COURT ST,FLINT,9642,310929,32.24735532
48503,LG88676,11/28/16,Lead,,Copper,,1310,BLANCHARD,FLINT,9642,310929,32.24735532
48503,LG83436,10/24/16,Lead,,Copper,,2100,CADILLAC ST,FLINT,9642,310929,32.24735532
48503,LG69486,8/25/16,Lead,0,Copper,0,1321,WOODLAWN PARK DR,FLINT,9642,310929,32.24735532
48503,LG58832,7/12/16,Lead,0,Copper,0,3536,PROVIDENCE ST,FLINT,9642,310929,32.24735532
48503,LG83095,10/20/16,Lead,,Copper,,325,W GENESEE ST,FLINT,9642,310929,32.24735532
48503,LG87595,11/17/16,Lead,,Copper,,,WOODSIDE CHURCH MCC ECLC,FLINT,9642,310929,32.24735532
48503,LG85716,11/7/16,Lead,,Copper,,2014,MONTEITH ST,FLINT,9642,310929,32.24735532
48503,LG81801,10/13/16,Lead,0,Copper,0,1201,W GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG74234,9/15/16,Lead,0,Copper,0,502,CAPO ST,FLINT,9642,310929,32.24735532
48503,LG87616,11/17/16,Lead,,Copper,,0,CARMAN PARK,FLINT,9642,310929,32.24735532
48503,LG71377,9/6/16,Lead,0,Copper,0,1514,RASPBERRY LN,FLINT,9642,310929,32.24735532
48503,LG75305,9/21/16,Lead,0,Copper,0,3731,WORCHESTER DR,FLINT,9642,310929,32.24735532
48503,LG87336,11/17/16,Lead,0,Copper,100,3731,WORCHESTER DR,FLINT,9642,310929,32.24735532
48503,LG76229,9/22/16,Lead,2,Copper,70,614,S LYNCH ST,FLINT,9642,310929,32.24735532
48503,LG60207,7/18/16,Lead,0,Copper,80,1730,WYOMING AVE,FLINT,9642,310929,32.24735532
48503,LG87691,11/17/16,Lead,,Copper,,3201,SALISHAN CIR,FLINT,9642,310929,32.24735532
48503,LG60662,7/19/16,Lead,6,Copper,0,741,CLINTON ST,FLINT,9642,310929,32.24735532
48503,LG83044,10/20/16,Lead,0,Copper,170,3202,CRANBROOK CIR,FLINT,9642,310929,32.24735532
48503,LG77513,9/27/16,Lead,0,Copper,0,1802,CARMANBROOK PKWY,FLINT,9642,310929,32.24735532
48503,LG61528,7/21/16,Lead,0,Copper,0,416,CRAPO ST,FLINT,9642,310929,32.24735532
48503,LG67972,8/18/16,Lead,3,Copper,0,210,WELCH BLVD,FLINT,9642,310929,32.24735532
48503,LG59597,7/14/16,Lead,0,Copper,340,4264,SUGAR MAPLE RUN,FLINT,9642,310929,32.24735532
48503,LG87602,11/17/16,Lead,,Copper,,,CARTER ELEMENTARY,FLINT,9642,310929,32.24735532
48503,LG58882,7/12/16,Lead,0,Copper,80,908,YOUNG ST,FLINT,9642,310929,32.24735532
48503,LG75405,9/21/16,Lead,0,Copper,0,913,YOUNG ST,FLINT,9642,310929,32.24735532
48503,LG58017,7/7/16,Lead,0,Copper,0,3605,CASSIUS ST,FLINT,9642,310929,32.24735532
48503,LG65014,8/8/16,Lead,1,Copper,120,2821,COMANCHE AVE,FLINT,9642,310929,32.24735532
48503,LG64895,8/8/16,Lead,13,Copper,0,1213,W HAMILTON AVE,FLINT,9642,310929,32.24735532
48503,LG72822,9/12/16,Lead,8,Copper,0,721,W DAYTON AVE,FLINT,9642,310929,32.24735532
48503,LG67919,8/18/16,Lead,1,Copper,0,1712,PARK ST,FLINT,9642,310929,32.24735532
48503,LG58045,7/7/16,Lead,0,Copper,0,1314,W MOTT AVE,FLINT,9642,310929,32.24735532
48503,LG68003,8/18/16,Lead,8,Copper,0,2454,ZIMMERMAN ST,FLINT,9642,310929,32.24735532
48503,LG76883,9/26/16,Lead,0,Copper,0,502,W PHILADELPHIA BLVD,FLINT,9642,310929,32.24735532
48503,LG86700,11/14/16,Lead,4,Copper,0,,0,FLINT,9642,310929,32.24735532
48503,LG67986,8/18/16,Lead,2,Copper,0,916,LINCOLN AVE,FLINT,9642,310929,32.24735532
48503,LG74846,9/19/16,Lead,5,Copper,0,702,BLANCHARD AVE,FLINT,9642,310929,32.24735532
48503,LG71019,9/1/16,Lead,0,Copper,0,,,,9642,310929,32.24735532
48503,LG71345,9/6/16,Lead,2,Copper,0,1618,LINWOOD AVE,FLINT,9642,310929,32.24735532
48503,LG76881,9/26/16,Lead,4,Copper,0,817,ALVORD AVE,FLINT,9642,310929,32.24735532
48503,LG83445,10/24/16,Lead,,Copper,,3146,ARIZONA AVE,FLINT,9642,310929,32.24735532
48503,LG58845,7/12/16,Lead,0,Copper,70,,,FLINT,9642,310929,32.24735532
48503,LG77565,9/27/16,Lead,6,Copper,120,1201,N GRAND TRAVERSE ST,FLINT,9642,310929,32.24735532
48503,LG67963,8/18/16,Lead,0,Copper,0,914,CHURCH ST,FLINT,9642,310929,32.24735532
